sample_no,id,sample_group,speaker_jp,jp,hit_terms,flash_cn,pro_cn,same_norm,flash_flags,pro_flags,flash_flag_count,pro_flag_count
105,game_t00728,proper_noun_dense_2,オールストン准将,「我々を取り巻く状況は非常に厳しい。ＢＥＴＡの脅威こそ去ったものの、かくも変容した世界に我々は孤立している」,オールストン准将=>奥尔斯顿准将; ＢＥＴＡ=>BETA; 准将=>准将,我们面临的形势非常严峻。虽然BETA的威胁已经过去，但我们却孤立于这个如此变化的世界之中。,“我们周围的形势非常严峻。虽然BETA的威胁已经远去，但在如此剧变的世界中，我们孤立无援。”,no,,,0,0
106,game_t00729,proper_noun_dense_2,オールストン准将,「だが、あの激変を生き延びた戦友は、必ずや世界各地で、その力を蓄えているだろう」,オールストン准将=>奥尔斯顿准将; 准将=>准将,但是，那些在那场剧变中幸存下来的战友，一定在世界各地积蓄着力量吧。,但是，那些在剧变中幸存下来的战友们，一定正在世界各地积蓄力量吧。,no,,,0,0
107,game_t00730,proper_noun_dense_2,オールストン准将,「来るべき戦友たちとの邂逅に備え、分散した戦力の集約を任務とし、この日々を生き抜く事こそが、我々に課せられた新たな戦いである」,オールストン准将=>奥尔斯顿准将; 准将=>准将,为了准备与即将到来的战友们的邂逅，以分散战力的集约为任务，度过这些日子正是我们被赋予的新战斗。,“为迎接即将到来的战友们，我们的任务是集结分散的兵力，度过这些日子，正是我们被赋予的新战斗。”,no,,,0,0
108,game_t00731,proper_noun_dense_2,オールストン准将,「リリア・シェルベリ少尉、貴官の勇戦に期待する！」,リリア・シェルベリ=>莉莉娅·谢尔贝里; オールストン准将=>奥尔斯顿准将; リリア・シェル=>莉莉娅·谢尔; シェルベリ=>谢尔贝里; リリア=>莉莉娅; 少尉=>少尉; 准将=>准将,莉莉娅·谢尔贝里少尉，期待你的英勇战斗！,莉莉娅·谢尔贝里少尉，期待你的英勇奋战！,no,,,0,0
109,game_t00732,proper_noun_dense_2,リリア,「は――！」,リリア=>莉莉娅,哈——！,哈——！,yes,,,0,0
110,game_t00733,proper_noun_dense_2,オールストン准将,「――以上だ。ではマクマナス中尉、後を頼む」,オールストン准将=>奥尔斯顿准将; マクマナス中尉=>麦克马纳斯中尉; マクマナス=>麦克马纳斯; 中尉=>中尉; 准将=>准将,“——以上。那么麦克马纳斯中尉，后面就拜托了。”,“——以上。那么麦克马纳斯中尉，后面就拜托了。”,yes,,,0,0
111,game_t00734,proper_noun_dense_2,ダリル,「は！　了解いたしました！」,ダリル=>达里尔,是！　我明白了！,是！明白了！,no,,,0,0
112,game_t00735,proper_noun_dense_2,ダリル,「――敬礼！」,ダリル=>达里尔,「——敬礼！」,达里尔,no,,,0,0
113,game_t00736,proper_noun_dense_2,ダリル,「さて、と。――改めて、リリア・シェルベリ少尉」,リリア・シェルベリ=>莉莉娅·谢尔贝里; リリア・シェル=>莉莉娅·谢尔; シェルベリ=>谢尔贝里; リリア=>莉莉娅; ダリル=>达里尔; 少尉=>少尉,「好了，那么。――再次，莉莉娅·谢尔贝里少尉」,那么，——再次介绍，莉莉娅·谢尔贝里少尉,no,,,0,0
114,game_t00737,proper_noun_dense_2,リリア,「は！」,リリア=>莉莉娅,莉莉娅,是！,no,,,0,0
115,game_t00738,proper_noun_dense_2,ダリル,「海兵隊第３１８戦術機隊へようこそ。……ま、正確にはアタシらは分遣隊だけどね」,海兵隊第３１８戦術機隊=>海军陆战队第318战术机队; 第３１８戦術機隊=>第318战术机队; 戦術機隊=>战术机队; 海兵隊第=>海军陆战队第; 海兵隊=>海军陆战队; ダリル=>达里尔; 分遣隊=>分遣队,欢迎来到海军陆战队第318战术机队。……嘛，准确来说我们只是分遣队。,欢迎来到海军陆战队第318战术机队。……嘛，准确来说我们只是分遣队而已,no,,,0,0
116,game_t00739,proper_noun_dense_2,ダリル,「それにさっきはＪＦＫ乗組員一同、なんて言っちまったけどさ、アタシらは元々ＪＦＫの所属でもないんだよ」,ＪＦＫ=>JFK; ダリル=>达里尔,而且刚才我不小心说了‘JFK全体船员’什么的，但我们本来就不是JFK的成员啊,而且刚才我还说什么JFK全体船员，其实我们原本也不是JFK的所属人员啊,no,,,0,0
117,game_t00740,proper_noun_dense_2,リリア,「……左様でありますか」,リリア=>莉莉娅,“……是这样吗”,莉莉娅,no,,,0,0
118,game_t00741,proper_noun_dense_2,ダリル,「よしとくれ、堅っ苦しいのはナシだよ。規律は大切だがね、隊の中は家族みたいなもんさ。違うかい？」,ダリル=>达里尔,行啦，别那么死板。纪律固然重要，但队里就像一家人一样。不是吗？,得了吧，别那么拘谨。纪律固然重要，但队里就像一家人一样。不是吗？,no,,,0,0
119,game_t00742,proper_noun_dense_2,,来たな、ビッグ・マムの流儀が。それ自体は俺も気楽でいいんだけどさ……。,ビッグ・マム=>Big Mom,来了啊，大妈海贼团的作风。这本身我也觉得轻松自在，不过……。,来了啊，Big Mom的作风。这本身我倒也觉得轻松挺好的……。,no,term_missing:ビッグ・マム->Big Mom,,1,0
120,game_t00743,proper_noun_dense_2,リリア,「……了解。それがマクマナス中尉の方針でしたら」,マクマナス中尉=>麦克马纳斯中尉; マクマナス=>麦克马纳斯; リリア=>莉莉娅; 中尉=>中尉,“……明白。如果那是麦克马纳斯中尉的方针的话”,「……了解。如果那是麦克马纳斯中尉的方针的话」,no,,,0,0
121,game_t00744,proper_noun_dense_2,ウィル,「……あんまり隊長のペースに呑まれないでくれよ？」,ウィル=>威尔; 隊長=>队长,“……别太被队长的节奏带着走啊？”,「……别太被队长的节奏带着走啊？」,no,,,0,0
122,game_t00745,proper_noun_dense_2,ダリル,「ウィルバート・コリンズ少尉、何か意見が？」,ウィルバート・コリンズ=>威尔伯特·柯林斯; コリンズ=>柯林斯; ウィル=>威尔; ダリル=>达里尔; 少尉=>少尉,威尔伯特·柯林斯少尉，有什么意见吗？,威尔伯特·柯林斯少尉，有什么意见吗？,yes,,,0,0
123,game_t00746,proper_noun_dense_2,ウィル,「ノー・マム、一切ありません」,ノー・マム=>不，长官; ウィル=>威尔,不，长官，什么都没有。,不，长官，什么都没有,no,,,0,0
124,game_t00747,proper_noun_dense_2,ダリル,「よろしい」,ダリル=>达里尔,达里尔,达里尔,yes,,,0,0
125,game_t00748,proper_noun_dense_2,ダリル,「じゃ、本題に戻らせてもらうよ」,ダリル=>达里尔,那么，我们回到正题吧。,那么，让我们回到正题吧,no,,,0,0
126,game_t00749,proper_noun_dense_2,ダリル,「そんなわけで、アタシらは正確には第３海兵遠征軍からの分遣隊だ」,ダリル=>达里尔; 分遣隊=>分遣队,因此，准确来说，我们是第三海军陆战队远征军的分遣队。,「所以，我们准确来说是来自第3海军陆战队远征军的分遣队」,no,,,0,0
127,game_t00750,proper_noun_dense_2,ダリル,「バビロンの時はヨコスカに居残りでね。アンタと同じ第三次作戦用の上陸部隊になるはずだった」,第三次作戦=>第三次作战; バビロン=>巴比伦; 上陸部隊=>登陆部队; ダリル=>达里尔; 部隊=>部队,巴比伦的时候我留在横须贺。本来应该和你一样成为第三次作战用的登陆部队的。,巴比伦的时候，我留在横须贺。本来应该和你一样成为第三次作战用的登陆部队。,no,,,0,0
128,game_t00751,proper_noun_dense_2,ダリル,「で、ブルーオーシャン発動時に分遣隊が編成され、ヨコハマからＪＦＫにお邪魔したってわけさ」,ブルーオーシャン=>蓝海; ヨコハマ=>横滨; ＪＦＫ=>JFK; ダリル=>达里尔; 分遣隊=>分遣队,那么，蓝海发动时分遣队被编成，从横滨到JFK打扰了,然后，蓝海启动时分遣队被编成，从横滨去JFK打扰了,no,,,0,0
129,game_t00752,proper_noun_dense_2,リリア,「…………」,リリア=>莉莉娅,「…………」,莉莉娅,no,,,0,0
130,game_t00753,proper_noun_dense_2,ダリル,「……つまり、一応建前として重要なのはここだよ。アタシらは本来母艦付きの海兵隊じゃあないのさ。お客さんだね」,海兵隊=>海军陆战队; ダリル=>达里尔; 母艦=>母舰,“……也就是说，原则上重要的是这里。我们本来不是母舰上的海军陆战队。是客人呢。”,「……也就是说，表面上的重点在这里。我们本来并不是母舰上的海军陆战队。是客人呢」,no,,,0,0
131,game_t00754,proper_noun_dense_2,ダリル,「ブルーオーシャンでも海軍とは別個の任務を帯びての乗船だった」,ブルーオーシャン=>蓝海; ダリル=>达里尔; 海軍=>海军,即使在蓝海，也是带着与海军不同的任务上船的。,在蓝海也是带着与海军不同的任务乘船的,no,,,0,0
132,game_t00755,proper_noun_dense_2,,ああ……いきなりそこを説明しておくのか。,,啊……突然要从那里开始说明吗。,啊……突然就要解释这个吗。,no,,,0,0
133,game_t00756,proper_noun_dense_2,,ま、確かに今後海軍連中と任務をやってく上では、基本認識として持っとかないとマズいしな。,海軍=>海军,嗯，确实今后与海军那帮人执行任务时，作为基本认识不掌握可不行啊。,嘛，确实今后要和海军那帮人一起执行任务的话，作为基本认识不掌握可不行啊。,no,,,0,0
134,game_t00757,proper_noun_dense_2,リリア,「別個の、ですか……？」,リリア=>莉莉娅,“是分开的吗……？”,莉莉娅,no,,,0,0
135,game_t00758,proper_noun_dense_2,ダリル,「ま、そこは分遣隊内でも『Ｎｅｅｄ　ｔｏ　ｋｎｏｗ』ってヤツだったよ」,ダリル=>达里尔; 分遣隊=>分遣队,嘛，这在分遣队内部也是‘需要知道’的事情。,嘛，这在分遣队内部也是那种“Need to know”的事啦,no,,,0,0
136,game_t00759,proper_noun_dense_2,ダリル,「この分遣隊、アタシら戦術機１個小隊、第３海兵連隊からの歩兵１個小隊で構成されてるんだけど……」,第３海兵連隊=>第3海军陆战队团; 海兵連隊=>海军陆战队团; ダリル=>达里尔; 分遣隊=>分遣队; 個小隊=>个小队; 小隊=>小队,这个分遣队由我们战术机一个小队和第3海军陆战队团的一个步兵小队组成……,这个分遣队，由我们战术机一个小队、第3海军陆战队团的一个步兵小队组成……,no,,,0,0
137,game_t00760,proper_noun_dense_2,ダリル,「アタシら戦術機側には『警護任務』としか明かされて無いし、直接的な任務は歩兵小隊の援護って話さ。もっとも、こんな状況じゃ援護もクソもないからねえ」,歩兵小隊=>步兵小队; ダリル=>达里尔; クソ=>该死; 小隊=>小队,我们战术机这边只被告知是‘护卫任务’，直接任务是支援步兵小队。不过，这种情况下支援个屁啊。,我们战术机这边只被告知是“警护任务”，直接的任务据说是支援步兵小队。不过，在这种状况下，支援什么的根本谈不上啊。,no,term_missing:クソ->该死,term_missing:クソ->该死,1,1
138,game_t00761,proper_noun_dense_2,ウィル,「…………」,ウィル=>威尔,「…………」,威尔,no,,,0,0
139,game_t00762,proper_noun_dense_2,,ヨコハマって時点で大体想像はつくが……。あくまで憶測だ。隊長も口にはしないだろう。,ヨコハマ=>横滨; 隊長=>队长,横滨这个时间点大致能想象到……。不过只是猜测。队长也不会说出口吧。,横滨这地方，大概也能猜到……不过只是猜测。队长也不会明说吧。,no,,,0,0
140,game_t00763,proper_noun_dense_2,ダリル,「今は海軍サンの戦術機部隊に協力して、こないだみたいな探索任務に就いてる、ってわけ」,戦術機部隊=>战术机部队; ダリル=>达里尔; 海軍=>海军; 部隊=>部队,现在是在协助海军的战术机部队，执行像上次那样的搜索任务。,现在是在协助海军桑的战术机部队，执行像上次那样的探索任务，就是这么回事,no,,,0,0
141,game_t00764,proper_noun_dense_2,ダリル,「後は……回りくどく言ってもしょうがないからね、単刀直入に伝えておくと――」,ダリル=>达里尔,「之后……拐弯抹角地说也没什么意义，我就直截了当地告诉你吧——」,「剩下的……拐弯抹角也没用，我就直截了当地告诉你吧——」,no,,,0,0
142,game_t00765,proper_noun_dense_2,ウィル,「…………」,ウィル=>威尔,「…………」,威尔,no,,,0,0
143,game_t00766,proper_noun_dense_2,ダリル,「１個小隊４名、残ってるのはアタシとウィルのふたりだけだ」,ウィル=>威尔; ダリル=>达里尔; 個小隊=>个小队; 小隊=>小队,一个小队4个人，剩下的只有我和威尔两个人了。,一个小队4个人，剩下的只有我和威尔两个人了,no,,,0,0
144,game_t00767,proper_noun_dense_2,リリア,「……はい」,リリア=>莉莉娅,「……是的」,莉莉娅,no,,,0,0
145,game_t00768,proper_noun_dense_2,,こういう時、隊長のストレートさは正直助かる。,隊長=>队长,这种时候，队长的直率真是帮了大忙。,这种时候，队长的直率反而让人感激。,no,,,0,0
146,game_t00769,proper_noun_dense_2,,でも、リリアにとっては応えづらいところだよな……俺だって思い出すのは未だに辛い。,リリア=>莉莉娅,但是，对莉莉娅来说，这是个难以回答的问题吧……连我现在回想起来都还很痛苦。,不过，对莉莉娅来说，这确实很难回答吧……就连我回想起来，至今仍觉得痛苦。,no,,,0,0
147,game_t00770,proper_noun_dense_2,,しかしこの反応、気づいてはいたんだな……さっきから俺らしかいないし当然か。,,但是这种反应，你注意到了啊……刚才开始就只有我们了，当然的吧。,但是这种反应，你早就注意到了吧……刚才开始就只有我们，也是理所当然的。,no,,,0,0
148,game_t00771,proper_noun_dense_2,ダリル,「稼働機体は単座のＦ－１８Ｅが３機。リリアにも１機専任に乗ってもらうことになるね」,Ｆ－１８Ｅ=>F-18E; リリア=>莉莉娅; ダリル=>达里尔,“可动用的机体是单座的F-18E共3架。莉莉娅也要专门负责驾驶其中一架。”,可动用的机体是单座的F-18E，共三架。莉莉娅也需要专门驾驶一架。,no,,,0,0
149,game_t00772,proper_noun_dense_2,リリア,「了解です」,リリア=>莉莉娅,莉莉娅,莉莉娅,yes,,,0,0
150,game_t00773,proper_noun_dense_2,ダリル,「ちなみに、４機目は見事に中破、修理不能と判定されてるよ。大海崩で格納庫も随分とシェイクされちまったからね」,ダリル=>达里尔; 大海崩=>大海崩,“顺便一提，第4架被判定为中破、无法修理。因为大海崩，机库也受到了相当大的震动。”,顺便一提，第四架飞机被判定为严重损坏，无法修复。因为大海崩，机库也被剧烈摇晃了。,no,,,0,0
151,game_t01687,speaker_ruby_system_2,ダリル,「補給拠点構築に影響が無い限り、センサー類への注意を怠るな。復唱！」,注意を怠るな=>不得疏忽警戒; センサー=>传感器; ダリル=>达里尔,只要不影响补给据点的建设，就不得疏忽对传感器的警戒。复诵！,只要不影响补给据点的建设，不得疏忽对传感器类的警戒。复述！,no,term_missing:注意を怠るな->不得疏忽警戒,term_missing:注意を怠るな->不得疏忽警戒,1,1
152,game_t01688,speaker_ruby_system_2,ウィル,「了解！　補給拠点構築に影響が無い限り、センサー類の確認を厳にします！」,センサー=>传感器; ウィル=>威尔,了解！只要不影响补给据点的建设，就会严格确认传感器类设备！,了解！只要不影响补给据点的构建，我会严格确认传感器类设备！,no,,,0,0
153,game_t01689,speaker_ruby_system_2,,まあいい。これぐらいは付き合っても多分大丈夫だろう。,,好吧。这种程度的话，陪陪你应该没问题吧。,好吧。这点程度的话，陪一下大概也没问题吧。,no,,,0,0
154,game_t01690,speaker_ruby_system_2,,これでリリアの気が晴れるなら、下手にぶつかって出撃先で揉め事を起こすよりはいい。,リリア=>莉莉娅,如果这样能让莉莉娅心情好转，那总比贸然出击在任务地点惹出事端要好。,如果这样能让莉莉娅消气，总比贸然冲突在出击时引发纠纷要好。,no,,,0,0
155,game_t01691,speaker_ruby_system_2,リリア,「あ……」,リリア=>莉莉娅,「啊……」,莉莉娅,no,,,0,0
156,game_t01692,speaker_ruby_system_2,ダリル,「いいだろう。任務を遂行せよ」,ダリル=>达里尔,「好吧。执行任务。」,达里尔,no,,,0,0
157,game_t01693,speaker_ruby_system_2,ウィル,「はッ！　常に忠誠を！」,常に忠誠を=>永远忠诚; 常に忠誠=>永远忠诚; ウィル=>威尔,是！永远忠诚！,永远忠诚,no,,,0,0
158,game_t01694,speaker_ruby_system_2,ダリル,「ふふふ。面倒くさい男だな、ウィル坊は」,ウィル=>威尔; ダリル=>达里尔,“呵呵。真是个麻烦的男人啊，小威尔。”,呵呵呵。威尔真是个麻烦的男人啊,no,,,0,0
159,game_t01695,speaker_ruby_system_2,ウィル,「申し訳ありません。性分ですので」,ウィル=>威尔,对不起，这是我的天性。,抱歉，这是我的天性。,no,,,0,0
160,game_t01696,speaker_ruby_system_2,リリア,「…………」,リリア=>莉莉娅,「…………」,莉莉娅,no,,,0,0
161,game_t01697,speaker_ruby_system_2,ダリル,「さて、これで異論はないようだね」,ダリル=>达里尔,好了，看来没有异议了呢,那么，看来没有异议了,no,,,0,0
162,game_t01698,speaker_ruby_system_2,ダリル,「フライング・ブーム作戦は既に発動済みだ。早速本日、貴様らふたりには出撃してもらう」,フライング・ブーム作戦=>飞行吊杆作战; フライング・ブーム=>飞行吊杆; ダリル=>达里尔,“飞行吊杆作战已经发动了。今天，你们两个就要出击。”,“飞行吊杆作战已经发动了。今天马上，你们两个就得出击”,no,,,0,0
163,game_t01699,speaker_ruby_system_2,ウィル・リリア,「は――！」,ウィル・リリア=>威尔·莉莉娅; リリア=>莉莉娅; ウィル=>威尔,「哈——！」,哈——！,no,,,0,0
164,game_t01700,speaker_ruby_system_2,ダリル,「今日の先導はコリンズ少尉とする」,コリンズ=>柯林斯; ダリル=>达里尔; 少尉=>少尉,今天的领航员是柯林斯少尉,今天的先导由柯林斯少尉担任,no,,,0,0
165,game_t01701,speaker_ruby_system_2,ウィル,「はッ！　承りました！」,ウィル=>威尔,是！遵命！,是！遵命！,yes,,,0,0
166,game_t01702,speaker_ruby_system_2,,いくらリリアが歴戦の衛士でも、今回はこの環境での経験が考慮されたんだろう。,リリア=>莉莉娅,即使莉莉娅是经验丰富的卫士，这次大概也考虑到了她在这种环境下的经验。,即使莉莉娅是身经百战的卫士，这次也考虑到了在这种环境下的经验吧。,no,,,0,0
167,game_t01703,speaker_ruby_system_2,,これなら、リリアの暴走を抑えることもできるはずだ。,リリア=>莉莉娅,这样的话，应该也能抑制莉莉娅的暴走了。,这样的话，应该也能抑制莉莉娅的暴走了。,yes,,,0,0
168,game_t01704,speaker_ruby_system_2,ダリル,「今回はまだ物資の運搬は行わず、まずは前回と同じく中継機の設置を担当してもらう」,ダリル=>达里尔; まだ=>还; 物資=>物资,这次还不进行物资运输，首先和上次一样，请负责设置中继机。,这次还不进行物资的运输，首先和上次一样，负责设置中继机,no,,,0,0
169,game_t01705,speaker_ruby_system_2,ダリル,「――メルも徹夜で協力してくれたからね。無駄にするんじゃないよ？」,ダリル=>达里尔,「――因为梅尔也通宵协助了。可别浪费了哦？」,「——梅尔也通宵帮忙了，可别浪费了哦？」,no,,,0,0
170,game_t01706,speaker_ruby_system_2,ウィル・リリア,「了解――！」,ウィル・リリア=>威尔·莉莉娅; リリア=>莉莉娅; ウィル=>威尔,了解——！,了解——！,yes,,,0,0
171,game_t01707,speaker_ruby_system_2,リリア,「――ナイヴス３よりナイヴス２、対地光学映像記録完了。ＧＰＳ照合開始します」,ナイヴス２=>黑刃2; ナイヴス３=>黑刃3; ナイヴス=>黑刃; リリア=>莉莉娅; ＧＰＳ=>GPS,「——黑刃3呼叫黑刃2，对地光学影像记录完成。开始GPS对照。」,「――黑刃3呼叫黑刃2，对地光学影像记录完毕。开始GPS比对。」,no,,,0,0
172,game_t01708,speaker_ruby_system_2,ウィル,「ナイヴス２了解。そろそろ設置ポイントだ、高度を下げるぞ」,ナイヴス２=>黑刃2; ナイヴス=>黑刃; ウィル=>威尔,黑刃2收到。快到设置点了，降低高度。,「黑刃2了解。快到设置点了，降低高度」,no,,,0,0
173,game_t01709,speaker_ruby_system_2,,ここまでは何の問題もなくこなしているな……。,,到目前为止一切顺利……。,到目前为止，你都毫无问题地完成了……。,no,,,0,0
174,game_t01710,speaker_ruby_system_2,,今回はまだ、ＪＦＫから直接往復が可能な地点への設置に過ぎない。,ＪＦＫ=>JFK; まだ=>还,这次还只是设置在可以从JFK直接往返的地点。,这次还只是在JFK可以直接往返的地点设置而已。,no,,,0,0
175,game_t01711,speaker_ruby_system_2,,方向的には前回リリアを発見した時と同じだが、記録済みの海岸線を飛ばせば内陸部をショートカットできる。前回よりは、遠距離まで進出できる飛行計画だ。,リリア=>莉莉娅,方向上前一次发现莉莉娅时相同，但跳过已记录的海岸线可以抄近道内陆。相比上次，这是能推进到更远距离的飞行计划。,方向与上次发现莉莉娅时相同，但若飞越已记录的海岸线，可以抄近路穿越内陆。这是比上次能推进到更远距离的飞行计划。,no,,,0,0
176,game_t01712,speaker_ruby_system_2,リリア,「…………」,リリア=>莉莉娅,「…………」,莉莉娅,no,,,0,0
177,game_t01713,speaker_ruby_system_2,,…………。,,jp: …………。,日本海军舰艇命名规则：日本海上自卫队的舰艇命名通常使用自然现象、地名、山名、河名等。例如，护卫舰（DDH、DDG、DD）多使用天象、山岳、河川、地方名等。具体舰名如“日向”、“出云”、“金刚”、“爱宕”等。而美国海军舰艇命名规则：美国海军舰艇命名通常使用人名（如总统、海军英雄）、地名、战役名、概念名等。例如，航空母舰（CVN）多以美国总统或重要政治人物命名，如“尼米兹”、“艾森豪威尔”、“福特”等；巡洋舰（CG）多以战役命名；驱逐舰（DDG）多以海军英雄命名；两栖攻击舰（LHA/LHD）多以海军陆战队战役或早期帆船命名。具体舰名如“企业”（CVN-65）、“约翰·F·肯尼迪”（CV-67）等。英国皇家海军舰艇命名规则：英国皇家海军舰艇命名通常使用形容词、神话人物、地名、君主名等。例如，航空母舰多以“皇家方舟”、“伊丽莎白女王”等命名；驱逐舰多以字母级命名（如Daring级）；护卫舰多以公爵级命名。具体舰名如“皇家方舟”、“伊丽莎白女王”等。澳大利亚皇家海军舰艇命名规则：澳大利亚皇家海军舰艇命名通常使用城市名、地区名、河流名等。例如，护卫舰多以城市命名（如“悉尼”、“墨尔本”），潜艇多以澳大利亚海军英雄命名。具体舰名如“堪培拉”、“阿德莱德”等。关于提到的舰名：HIVE不是标准舰名，可能指代不明；JFK指美国航空母舰“约翰·F·肯尼迪”号（CV-67）；BETA不是标准舰名；CVN-67即“约翰·F·肯尼迪”号；HMAS是澳大利亚皇家海军舰艇前缀（Her/His Majesty's Australian Ship），后接具体舰名，如HMAS Sydney。总结：各国海军舰艇命名规则各有特色，日本多用自然地理名称，美国多用人物和战役，英国多用传统名称，澳大利亚多用城市名。,no,explain,possible_expansion,1,1
178,game_t01714,speaker_ruby_system_2,,ってリリアの奴、聞こえてないのか？,リリア=>莉莉娅,喂，莉莉娅那家伙，听不见吗？,喂，莉莉娅那家伙，听不见吗？,yes,,,0,0
179,game_t01715,speaker_ruby_system_2,ウィル,「ナイヴス２よりナイヴス３、まもなく中継機設置ポイントだ。高度を下げろ」,ナイヴス２=>黑刃2; ナイヴス３=>黑刃3; ナイヴス=>黑刃; ウィル=>威尔,黑刃2呼叫黑刃3，即将到达中继机设置点。降低高度。,「黑刃2呼叫黑刃3，即将到达中继机设置点。降低高度」,no,,,0,0
180,game_t01716,speaker_ruby_system_2,リリア,「…………」,リリア=>莉莉娅,「…………」,莉莉娅,no,,,0,0
181,game_t01717,speaker_ruby_system_2,,……おいおい。,,喂喂。,,no,,empty,0,1
182,game_t01718,speaker_ruby_system_2,,後でレコーダーを確認されたら大目玉だぞ？,,等会儿要是被检查录音机，可要挨骂了？,待会查记录的话会被骂得很惨哦？,no,,,0,0
183,game_t01719,speaker_ruby_system_2,,前線じゃいちいちそんな確認なんてしないのかもしれないけどさ……。,かもしれない=>也许,也许在前线不会每次都做这样的确认吧……。,在前线也许不会一一进行那样的确认吧……。,no,,,0,0
184,game_t01720,speaker_ruby_system_2,ウィル,「リリア、聞こえてるだろ。高度を下げてくれ」,リリア=>莉莉娅; ウィル=>威尔,莉莉娅，你听到了吧。请降低高度。,「莉莉娅，你听到了吧。降低高度吧」,no,,,0,0
185,game_t01721,speaker_ruby_system_2,リリア,「――ナイヴス３よりナイヴス２、よく聞こえない。再度送信願う」,ナイヴス２=>黑刃2; ナイヴス３=>黑刃3; ナイヴス=>黑刃; リリア=>莉莉娅,「——黑刃3呼叫黑刃2，听不清楚。请再次发送。」,「——黑刃3呼叫黑刃2，听不清楚。请再次发送」,no,,,0,0
186,game_t01722,speaker_ruby_system_2,,やれやれ……。,,哎呀呀……。,真是的……。,no,,,0,0
187,game_t01723,speaker_ruby_system_2,ウィル,「そろそろウチの隊の伝統だな、性能のいい通信機は」,性能のいい=>性能好的; ウィル=>威尔; ウチ=>我方/本舰,这快成我队的传统了，性能好的通信机,差不多是我们队的传统了，性能好的通信机,no,term_missing:ウチ->我方/本舰,term_missing:ウチ->我方/本舰,1,1
188,game_t01724,speaker_ruby_system_2,,気持ちは分かるけどな、これで懲罰でも食らったら設置任務から外される可能性もあるんだぞ？,,我理解你的心情，但如果因此受到惩罚，可能会被调离安装任务。,你的心情我能理解，但如果因此受到处罚，可能会被调离驻防任务哦？,no,,,0,0
189,game_t01725,speaker_ruby_system_2,,面倒くさい奴だが、それはそれで隊の負担になる……。,,虽然是个麻烦的家伙，但那样也会给队伍带来负担……。,真是个麻烦的家伙，不过这也算是给队伍增加了负担……。,no,,,0,0
190,game_t01726,speaker_ruby_system_2,ウィル,「リリア、これからも長いんだ。頼む」,これからも=>今后也; リリア=>莉莉娅; ウィル=>威尔,「莉莉娅，今后也还很长。拜托了。」,莉莉娅，今后也还很长。拜托了,no,,,0,0
191,game_t01727,speaker_ruby_system_2,リリア,「――分かってる……ナイヴス３了解、降下します」,ナイヴス３=>黑刃3; ナイヴス=>黑刃; リリア=>莉莉娅,“――明白……黑刃3收到，开始下降”,「――我明白……黑刃3收到，开始下降」,no,,,0,0
192,game_t01728,speaker_ruby_system_2,,よし、今回の中継機設置はここでいいだろう。地形的には申し分ない。,,好了，这次的中继机设置就在这里吧。地形上无可挑剔。,好，这次的中继器设置在这里应该没问题。地形上无可挑剔。,no,,,0,0
193,game_t01729,speaker_ruby_system_2,,前回よりも結構距離は稼げたな……。,,前回比，距离确实拉长了不少……。,这次比上次多走了不少距离呢……。,no,,,0,0
194,game_t01730,speaker_ruby_system_2,ウィル,「……ナイヴス３、この辺りで設置する」,ナイヴス３=>黑刃3; ナイヴス=>黑刃; ウィル=>威尔,「……黑刃3，就在这附近设置」,「……黑刃3，在这附近设置」,no,,,0,0
195,game_t01731,speaker_ruby_system_2,リリア,「――了解」,リリア=>莉莉娅,「――了解」,莉莉娅,no,,,0,0
196,game_t01732,speaker_ruby_system_2,ウィル,「中継機を下ろす――ナイヴス３、サポート位置」,ナイヴス３=>黑刃3; ナイヴス=>黑刃; ウィル=>威尔,放下中继机——黑刃3，支援位置,「放下中继机——黑刃3，支援位置」,no,,,0,0
197,game_t01733,speaker_ruby_system_2,リリア,「――了解。位置につきました」,リリア=>莉莉娅,“——了解。已就位。”,「――了解。已就位。」,no,,,0,0
198,game_t01734,speaker_ruby_system_2,,やれやれ……今のところは大人しいな。,,唉……目前还算老实。,呼……目前还算老实。,no,,,0,0
199,game_t01735,speaker_ruby_system_2,,このアンテナ設置がリリアにとっても遭難者発見の鍵なんだから、当然か……。,リリア=>莉莉娅,这个天线设置对莉莉娅来说也是发现遇难者的关键，当然啊……。,这个天线设置对莉莉娅来说也是发现遇难者的关键，当然啦……。,no,,,0,0
200,game_t01736,speaker_ruby_system_2,リリア,「――スパイク打ち込み確認、固定完了しました」,スパイク=>锚钉; リリア=>莉莉娅,“——锚钉打入确认，固定完成”,“——锚钉打入确认，固定完毕”,no,,,0,0
