sample_no,sample_group,group_label,call_order,egpack,xml,scene,message_tag_index,order_in_message,text_attr,id,speaker_id,speaker_jp,jp,prev_context_jp,next_context_jp,hit_terms,hit_term_categories,has_ruby_attr,xml_attrs,deepseek_model,deepseek_prompt_mode,deepseek_cn_raw,codex_cn_review,review_status,review_note,uncertain_for_user
43,opening_daily,?????,262,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,020_UAF_DAY91_01,242,1,text,game_t00261,game_s00011,リリア,「でも、\w他にも何隻かボートが展開したのは目撃してるんです！　他の救命艇はすぐに離れてはぐれてしまいましたけど…\w…\w」,259 リリア: 「元々浸水区画が多かったんで、\w許容応力を超えたんだと思います。それで、\w一気に浸水が進んで…\w…\w」 || 260 リリア: 「…\w…\wとっさに強化装備をつかんで救命艇に飛び乗るのがやっとで…\w…\w」 || 261 ダリル: 「…\w…\w…\w…\w」,263 ???: …\w…\w…\w…\w！ || 264 ???: そういうことか…\w…\wと言うより、\w当然だよな。救命艇が１隻だけなワケがない。 || 265 ???: でも…\w…\w。,リリア=>莉莉娅,リリア:katakana_person,no,"__line__=""23270"" speaker=""$game_s00011"" text=""$game_t00261"" voice=""010_リリア_A_L0017""",deepseek-v4-pro,control-placeholders,莉莉娅：「但是，\w我确实目击到还有其他几艘小船被放下来了！只不过其他的救生艇很快就驶离了，我们也就走散了…\w…\w」,「莉莉娅：「但是，\w我确实目击到还有其他几艘小船被放下来了！只不过其他的救生艇很快就驶离了，我们也就走散了…\w…\w」」,auto_fixed,修正对白/旁白引号,
44,opening_daily,?????,263,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,020_UAF_DAY91_01,243,1,text,game_t00262,,,…\w…\w…\w…\w！,260 リリア: 「…\w…\wとっさに強化装備をつかんで救命艇に飛び乗るのがやっとで…\w…\w」 || 261 ダリル: 「…\w…\w…\w…\w」 || 262 リリア: 「でも、\w他にも何隻かボートが展開したのは目撃してるんです！　他の救命艇はすぐに離れてはぐれてしまいましたけど…\w…\w」,264 ???: そういうことか…\w…\wと言うより、\w当然だよな。救命艇が１隻だけなワケがない。 || 265 ???: でも…\w…\w。 || 266 リリア: 「お願いです！　今から捜索すればきっとまだ――！」,,,no,"__line__=""23280"" text=""$game_t00262""",deepseek-v4-pro,control-placeholders,"很抱歉，我无法理解您的问题。您发来的消息中包含大量问号占位符和控制标记（如 `\w` 等），没有提供具体的 JSON 内容或明确的判断要求。

请重新发送您的提问，并用**实际内容**替换占位符，例如：
- 提供一段需要判断的 JSON 文本；
- 说明您希望我如何“判断”它（例如：格式是否正确、是否符合某个模式、是否有语法错误等）。

这样我才能为您提供准确的帮助。",…\w…\w…\w…\w！,auto_fixed,纯停顿/沉默句，按JP节奏保留,
45,opening_daily,?????,264,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,020_UAF_DAY91_01,244,1,text,game_t00263,,,そういうことか…\w…\wと言うより、\w当然だよな。救命艇が１隻だけなワケがない。,261 ダリル: 「…\w…\w…\w…\w」 || 262 リリア: 「でも、\w他にも何隻かボートが展開したのは目撃してるんです！　他の救命艇はすぐに離れてはぐれてしまいましたけど…\w…\w」 || 263 ???: …\w…\w…\w…\w！,265 ???: でも…\w…\w。 || 266 リリア: 「お願いです！　今から捜索すればきっとまだ――！」 || 267 ウィル: 「…\w…\w…\w…\w」,,,no,"__line__=""23290"" text=""$game_t00263""",deepseek-v4-pro,control-placeholders,"救命艇の数に違和感を抱かれたのですね。確かに、大きな船に救命艇が1隻だけというのは不自然で、何か裏があると考えるのが当然です。  
先ほどリクエストのあったJSONの例ですが、文中の `\w` ～ `\w` を推測して補うと、例えば以下のようになります。

```json
{
  ""CTRL1"": ""なるほど"",
  ""CTRL2"": ""疑う"",
  ""CTRL3"": ""まあ""
}
```

この場合、文全体は  
「そういうことか…なるほど…疑うと言うより、まあ当然だよな。救命艇が１隻だけなワケがない。」  
となります。ほかにも文脈によって異なる単語が入る可能性がありますので、必要であれば別の候補もお出しします。",原来如此…\w…\w不如说，\w这是当然的。救生艇不可能只有一艘。,auto_fixed,Codex按JP语义手动修正明显误译,
46,opening_daily,?????,265,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,020_UAF_DAY91_01,245,1,text,game_t00264,,,でも…\w…\w。,262 リリア: 「でも、\w他にも何隻かボートが展開したのは目撃してるんです！　他の救命艇はすぐに離れてはぐれてしまいましたけど…\w…\w」 || 263 ???: …\w…\w…\w…\w！ || 264 ???: そういうことか…\w…\wと言うより、\w当然だよな。救命艇が１隻だけなワケがない。,266 リリア: 「お願いです！　今から捜索すればきっとまだ――！」 || 267 ウィル: 「…\w…\w…\w…\w」 || 268 ダリル: 「…\w…\w…\w…\w」,,,no,"__line__=""23300"" text=""$game_t00264""",deepseek-v4-pro,control-placeholders,"{
  ""question"": ""????Big Mom???Big Mom???Big Mom????人???Big Mom???Big Mom?????? JSON???Big Mom??? ??? \w Big Mom????Big Mom???Big Mom???Big Mom???Big Mom??? ??? ??? ???でも…\w…\w。""
}",可是…\w…\w。,auto_fixed,Codex按JP语义手动修正明显误译,
47,opening_daily,?????,266,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,020_UAF_DAY91_01,246,1,text,game_t00265,game_s00011,リリア,「お願いです！　今から捜索すればきっとまだ――！」,263 ???: …\w…\w…\w…\w！ || 264 ???: そういうことか…\w…\wと言うより、\w当然だよな。救命艇が１隻だけなワケがない。 || 265 ???: でも…\w…\w。,267 ウィル: 「…\w…\w…\w…\w」 || 268 ダリル: 「…\w…\w…\w…\w」 || 269 ???: …\w…\wここは、\w隊長に切り出してもらった方がいいな…\w…\w。上からの台詞にした方がまだ受け入れやすいだろう…\w…\w。,リリア=>莉莉娅; まだ=>还,リリア:katakana_person; まだ:ruby_term,no,"__line__=""23350"" speaker=""$game_s00011"" text=""$game_t00265"" voice=""010_リリア_A_L0018""",deepseek-v4-pro,control-placeholders,"{
  ""キャラクター"": ""リリア"",
  ""セリフ"": ""お願いです！　今から捜索すればきっとまだ――！"",
  ""中国語"": ""拜托了！现在开始搜索的话一定还——！""
}",「拜托了！　现在开始搜索的话一定还――！」,auto_fixed,Codex按JP语义手动修正明显误译,
48,opening_daily,?????,267,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,020_UAF_DAY91_01,247,1,text,game_t00266,game_s00001,ウィル,「…\w…\w…\w…\w」,264 ???: そういうことか…\w…\wと言うより、\w当然だよな。救命艇が１隻だけなワケがない。 || 265 ???: でも…\w…\w。 || 266 リリア: 「お願いです！　今から捜索すればきっとまだ――！」,268 ダリル: 「…\w…\w…\w…\w」 || 269 ???: …\w…\wここは、\w隊長に切り出してもらった方がいいな…\w…\w。上からの台詞にした方がまだ受け入れやすいだろう…\w…\w。 || 270 ダリル: 「…\w…\wすまないんだけどね、\w捜索隊は出せないんだよ」,ウィル=>威尔,ウィル:katakana_person,no,"__line__=""23430"" speaker=""$game_s00001"" text=""$game_t00266"" voice=""ウィル_A_Z0066""",deepseek-v4-pro,control-placeholders,"{
  ""original"": ""???ウィル???「…\w…\w…\w…\w」"",
  ""translated"": ""???威尔???「…\w…\w…\w…\w」""
}",「…\w…\w…\w…\w」,auto_fixed,纯停顿/沉默句，按JP节奏保留,
49,opening_daily,?????,268,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,020_UAF_DAY91_01,248,1,text,game_t00267,game_s00005,ダリル,「…\w…\w…\w…\w」,265 ???: でも…\w…\w。 || 266 リリア: 「お願いです！　今から捜索すればきっとまだ――！」 || 267 ウィル: 「…\w…\w…\w…\w」,269 ???: …\w…\wここは、\w隊長に切り出してもらった方がいいな…\w…\w。上からの台詞にした方がまだ受け入れやすいだろう…\w…\w。 || 270 ダリル: 「…\w…\wすまないんだけどね、\w捜索隊は出せないんだよ」 || 271 リリア: 「え――？」,ダリル=>达里尔,ダリル:katakana_person,no,"__line__=""23510"" speaker=""$game_s00005"" text=""$game_t00267""",deepseek-v4-pro,control-placeholders,…\w…\w…\w…\w,「…\w…\w…\w…\w」,auto_fixed,纯停顿/沉默句，按JP节奏保留,
50,opening_daily,?????,269,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,020_UAF_DAY91_01,249,1,text,game_t00268,,,…\w…\wここは、\w隊長に切り出してもらった方がいいな…\w…\w。上からの台詞にした方がまだ受け入れやすいだろう…\w…\w。,266 リリア: 「お願いです！　今から捜索すればきっとまだ――！」 || 267 ウィル: 「…\w…\w…\w…\w」 || 268 ダリル: 「…\w…\w…\w…\w」,270 ダリル: 「…\w…\wすまないんだけどね、\w捜索隊は出せないんだよ」 || 271 リリア: 「え――？」 || 272 ダリル: 「アタシらの推進剤もそろそろ余裕がない…\w…\w今日はお嬢ちゃんを乗せて戻るのがやっとなんだよ」,隊長=>队长; まだ=>还,隊長:kanji_place_or_military_org; まだ:ruby_term,no,"__line__=""23540"" text=""$game_t00268""",deepseek-v4-pro,control-placeholders,"由于您的输入中有部分乱码，但根据可辨识的内容，我推测您希望将给定日文句子中的“隊長”替换为“队长”、“まだ”替换为“还”，并保留控制符（如 `\w` 等），然后以 JSON 格式输出结果。以下是根据您的意图处理的 JSON 示例：

```json
{
  ""original"": ""…\w…\wここは、\w隊長に切り出してもらった方がいいな…\w…\w。上からの台詞にした方がまだ受け入れやすいだろう…\w…\w。"",
  ""translated"": ""…\w…\wここは、\w队长に切り出してもらった方がいいな…\w…\w。上からの台詞にした方が还受け入れやすいだろう…\w…\w。"",
  ""mappings"": {
    ""隊長"": ""队长"",
    ""まだ"": ""还""
  },
  ""control_codes"": [
    ""CTRL1"", ""CTRL2"", ""CTRL3"", ""CTRL4"", ""CTRL5"", ""CTRL6"", ""CTRL7""
  ]
}
```

如果您需要更复杂的处理（例如提取控制符位置、合并到翻译记忆等），请提供更清晰的说明，我会进一步调整。",…\w…\w这里，\w还是让队长开口比较好…\w…\w。由上级来说，她应该还更容易接受…\w…\w。,auto_fixed,Codex按JP语义手动修正明显误译,
51,battle_comms_command,??/??/??,20,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,020_UAF_DAY91_01,1,1,text,game_t00019,,,―\w―\w変わらぬ空を、\w今日も飛ぶ。,17 オペレーター: 「――司令、\w国連統合参謀会議より返電。『バビロンの扉は開かれり』、\w以上です」 || 18 テイラー大将: 「来たか――」 || 19 テイラー大将: 「諸君――現時刻を以って『バビロン作戦』を発動する――！」,21 少尉: 「…\w…\wナイヴス２よりナイヴス１。予定地点到達まで後１２０秒」 || 22 中尉: 「ナイヴス１了解。減速を開始する。測地準備に入れ」 || 23 少尉: 「ナイヴス２了解」,,,no,"__line__=""390"" text=""$game_t00019""",deepseek-v4-pro,control-placeholders,了解、管制塔。変わらぬ空を、変わらぬ翼で。,―\w―\w一成不变的天空，\w今天也继续飞行。,auto_fixed,Codex按JP语义手动修正明显误译,
52,battle_comms_command,??/??/??,21,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,020_UAF_DAY91_01,2,1,text,game_t00020,game_s00014,少尉,「…\w…\wナイヴス２よりナイヴス１。予定地点到達まで後１２０秒」,18 テイラー大将: 「来たか――」 || 19 テイラー大将: 「諸君――現時刻を以って『バビロン作戦』を発動する――！」 || 20 ???: ―\w―\w変わらぬ空を、\w今日も飛ぶ。,22 中尉: 「ナイヴス１了解。減速を開始する。測地準備に入れ」 || 23 少尉: 「ナイヴス２了解」 || 24 少尉: 「…\w…\w…\w…\w」,ナイヴス２=>黑刃2; ナイヴス１=>黑刃1; ナイヴス=>黑刃; 少尉=>少尉,ナイヴス２:katakana_callsign_or_unit; ナイヴス１:katakana_callsign_or_unit; ナイヴス:katakana_callsign_or_unit; 少尉:kanji_person_or_rank_name,no,"__line__=""800"" speaker=""$game_s00014"" text=""$game_t00020"" voice=""ウィル_A_Z0000""",deepseek-v4-pro,control-placeholders,"{
  ""dialogue"": {
    ""original"": ""ナイヴス２よりナイヴス１。予定地点到達まで後１２０秒"",
    ""mapped"": ""黑刃2より黑刃1。予定地点到達まで後１２０秒"",
    ""speaker"": ""黑刃2"",
    ""receiver"": ""黑刃1"",
    ""message"": ""予定地点到達まで後１２０秒"",
    ""meaning"": ""距离预定地点还有120秒。""
  }
}",「…\w…\w黑刃2呼叫黑刃1。距离抵达预定地点还有120秒」,auto_fixed,Codex按JP语义手动修正明显误译,
