category,term,count,suggested_cn,suggestion_status,covered_by_existing_glossary,existing_targets,first_call_order,first_egpack,first_id,first_speaker_jp,first_context_jp,decision,confirmed_translation,note
katakana_military_or_foreign,キング,3,国王号,沿用已有,yes,国王号,723,030_UAF_DAY93_01.egpack,game_t00722,オールストン准将,「また本国及び国連司令部との連絡回復を目的とし、\w４艦の中でも最も損害が少なく、\w最新鋭艦でもあるズムウォルト級駆逐艦 『キング』を連絡艦に任命」,,国王号,
katakana_military_or_foreign,シアトル,3,西雅图,沿用已有,yes,西雅图,1401,040_UAF_DAY94_01.egpack,game_t01400,リリア,「…\w…\wは。補給艦『シアトル』からの救命艇は、\wあの付近に他にも漂着している可能性があります」,,西雅图,
katakana_military_or_foreign,プランＤ,3,D计划,沿用已有,yes,D计划,3409,090_UAF_DAY99_02.egpack,game_t03408,バスター１,「そのとおりだ。艦砲射撃を迂回して帰投。甲板上の兵装で補充の後、\w再出撃――プランＤだ」,,D计划,
katakana_military_or_foreign,ヨコハマ,3,横滨,沿用已有,yes,横滨,693,030_UAF_DAY93_01.egpack,game_t00692,オールストン准将,「ブルーオーシャン作戦発動後、\w国連軍ヨコハマ基地に寄港して物資と人員を積載」,,横滨,
katakana_military_or_foreign,リンク,3,链路,沿用已有,yes,链路,91,020_UAF_DAY91_01.egpack,game_t00090,ダリル,「母艦の静止衛星リンク、\wメルは何か言ってないのかい？」,,链路,
katakana_person,メルヴィナ,3,梅尔维娜,沿用已有,yes,梅尔维娜,55,020_UAF_DAY91_01.egpack,game_t00054,ダリル,「地図作成装置ができて随分楽になったモンだ。メルヴィナ様々だ。…\w…\w写真並べてお絵描きするのはもうウンザリだからねえ」,,梅尔维娜,
katakana_person,メルヴィナ・アードヴァニー,3,梅尔维娜·阿德瓦尼,沿用已有,yes,梅尔维娜·阿德瓦尼,1114,040_UAF_DAY94_01.egpack,game_t01113,メルヴィナ,「メルヴィナ・アードヴァニーっす。あ、\wメシ食ってるし敬礼はナシで」,,梅尔维娜·阿德瓦尼,
latin_or_acronym,Ｅ１２,3,E12,沿用已有,yes,E12,1750,050_UAF_DAY95_01.egpack,game_t01749,ウィル,「…\w…\wナイヴス２よりソルティ・ベース。中継機Ｅ１２の設置を完了。繰り返す、\w中継機Ｅ１２の設置を完了した」,,E12,
latin_or_acronym,Ｇ－Ｄ,3,G-D,沿用已有,yes,G-D,2313,060_UAF_DAY96_01.egpack,game_t02312,メルヴィナ,「Ｇ－Ｄａｙのね」,,G-D,
ruby_reading_katakana,セキュリティ・クリアランス,3,安全许可,沿用已有,yes,安全许可,,040_UAF_DAY94_01.egpack,game_t01521_ruby,,機密開示証明:セキュリティ・クリアランス,,安全许可,
ruby_reading_katakana,バディ,3,搭档,沿用已有,yes,搭档,,040_UAF_DAY94_01.egpack,game_t01276_ruby,,僚機:バディ,,搭档,
ruby_reading_katakana,ホーム,3,归处,沿用已有,yes,归处,,020_UAF_DAY91_01.egpack,game_t00529_ruby,,家:ホーム,,归处,
ruby_term,機密開示証明,3,安全许可,沿用已有,yes,安全许可,,040_UAF_DAY94_01.egpack,game_t01521_ruby,,機密開示証明:セキュリティ・クリアランス,,安全许可,
kanji_place_or_military_org,個中隊,2,个中队,沿用已有,yes,个中队,1355,040_UAF_DAY94_01.egpack,game_t01354,リリア,「しかし…\w…\w海軍と合わせても１個中隊ですか…\w…\w」,,个中队,
kanji_place_or_military_org,儀杖隊,2,仪仗队,沿用已有,yes,仪仗队,2752,070_UAF_DAY97_01.egpack,game_t02751,リリア,「私、\w儀杖隊に選ばれたのよ。弔銃、\w撃つんだって」,,仪仗队,
kanji_place_or_military_org,国連,2,联合国,沿用已有,yes,联合国,1116,040_UAF_DAY94_01.egpack,game_t01115,メルヴィナ,「国連オーストラリア海軍所属、\w技術士官、\w少尉、\wウィルの前妻…\w…\wこんなとこでいいかな？」,,联合国,
kanji_place_or_military_org,国連統合参謀会議,2,联合国联合参谋会议,沿用已有,yes,联合国联合参谋会议,12,010_UAFプロローグ.egpack,game_t00011,テイラー大将,「北米航空宇宙防衛司令部より国連統合参謀会議へ。『マルドゥークはバビロンの鍵を得たり』」,,联合国联合参谋会议,
kanji_place_or_military_org,国連軍,2,联合国军,沿用已有,yes,联合国军,94,020_UAF_DAY91_01.egpack,game_t00093,,建前上、\wさすがに国連軍――というか\nオーストラリア軍の人間に触らせる\nわけにはいかない。,,联合国军,
kanji_place_or_military_org,基地,2,基地,沿用已有,yes,基地,280,020_UAF_DAY91_01.egpack,game_t00279,リリア,「どうして…\w…\w同じ海兵隊員の命が掛かってるんですよ！　艦載ヘリとか、\w近隣の基地に要請とか色々――」,,基地,
kanji_place_or_military_org,多分隊長,2,大概是队长,沿用已有,yes,大概是队长,1514,040_UAF_DAY94_01.egpack,game_t01513,ウィル,「でもな、\w多分隊長も俺と同じ答えしか返せない。俺はこんなことで隊の結束を崩したくない」,,大概是队长,
kanji_place_or_military_org,探検隊,2,探险队,沿用已有,yes,探险队,90,020_UAF_DAY91_01.egpack,game_t00089,,測量に捜索、\wやってることはまるで昔の探検隊だもんな。正規母艦打撃群、\wなんて大層な名前が泣けてくる。,,探险队,
kanji_place_or_military_org,援軍,2,援军,沿用已有,yes,援军,3123,090_UAF_DAY99_01.egpack,game_t03122,ダリル,「そうだ。…\w…\w援軍は来る。衛星を動かせる連中が一切の戦力を保持していない可能性は低い」,,援军,
kanji_place_or_military_org,歩兵小隊,2,步兵小队,沿用已有,yes,步兵小队,761,030_UAF_DAY93_01.egpack,game_t00760,ダリル,「アタシら戦術機側には『警護任務』としか明かされて無いし、\w直接的な任務は歩兵小隊の援護って話さ。もっとも、\wこんな状況じゃ援護もクソもないからねえ」,,步兵小队,
kanji_place_or_military_org,海兵隊少尉,2,海军陆战队少尉,沿用已有,yes,海军陆战队少尉,3233,090_UAF_DAY99_01.egpack,game_t03232,ダリル,「ウィルバート・コリンズ海兵隊少尉！　我々に課せられた任務は何だ！」,,海军陆战队少尉,
kanji_place_or_military_org,海軍側,2,海军方面,沿用已有,yes,海军方面,776,030_UAF_DAY93_01.egpack,game_t00775,ダリル,「海軍側の機体も似たような被害状況さ。ま、\w詳しくは明日以降格納庫で説明させとくれ」,,海军方面,
kanji_place_or_military_org,海軍駐留拠点,2,海军驻留据点,沿用已有,yes,海军驻留据点,716,030_UAF_DAY93_01.egpack,game_t00715,オールストン准将,「我々はこの地をケネディ海軍駐留拠点と命名。現在、\w生き残った艦載機を中心に哨戒を行い、\w同様に漂流を続ける友軍の救難、\w集結に着手している」,,海军驻留据点,
kanji_place_or_military_org,第三次作戦,2,第三次作战,沿用已有,yes,第三次作战,689,030_UAF_DAY93_01.egpack,game_t00688,オールストン准将,「ならば、\w第三次作戦用の上陸部隊で間違いはないな？」,,第三次作战,
kanji_place_or_military_org,第５３６海兵戦術機隊,2,第536海军陆战队战术机队,沿用已有,yes,第536海军陆战队战术机队,2987,090_UAF_DAY99_01.egpack,game_t02986,ウィル,「第５３６海兵戦術機隊、\wか…\w…\w」,,第536海军陆战队战术机队,
kanji_place_or_military_org,米国海兵隊,2,美国海军陆战队,沿用已有,yes,美国海军陆战队,624,030_UAF_DAY93_01.egpack,game_t00623,リリア,「米国海兵隊は最後まで諦めるな、\wって励ましあってたけど…\w…\w」,,美国海军陆战队,
kanji_place_or_military_org,米国海兵隊員,2,美国海军陆战队员,沿用已有,yes,美国海军陆战队员,76,020_UAF_DAY91_01.egpack,game_t00075,ダリル,「ハハッ、\w別にメルが聞いているわけじゃあるまいし、\w米国海兵隊員がこれぐらいで動じるな」,,美国海军陆战队员,
kanji_place_or_military_org,米国籍,2,美国国籍,沿用已有,yes,美国国籍,1217,040_UAF_DAY94_01.egpack,game_t01216,ウィル,「…\w…\w少なくとも海兵隊の衛士は、\w米国籍か『国籍取得予定者』限定だよ」,,美国国籍,
kanji_place_or_military_org,米国軍人,2,美国军人,沿用已有,yes,美国军人,1913,050_UAF_DAY95_01.egpack,game_t01912,,こいつらだって米国軍人だ。本当なら、\w合衆国に連れ帰って弔ってやりたい。,,美国军人,
kanji_place_or_military_org,米軍衛士,2,美军卫士,沿用已有,yes,美军卫士,988,040_UAF_DAY94_01.egpack,game_t00987,,それに、\wそんな最前線に配置される米軍衛士ってことは…\w…\w。,,美军卫士,
kanji_place_or_region,一ヶ月,2,一个月,沿用已有,yes,一个月,121,020_UAF_DAY91_01.egpack,game_t00120,ＪＦＫオペレーター,「――ソルティ・ベースよりナイヴス１、\wナイヴス両機による直接確認を許可する。生きていれば一ヶ月ぶりの朗報だ、\w頼むぞ！」,,一个月,
kanji_place_or_region,先月,2,上个月,沿用已有,yes,上个月,724,030_UAF_DAY93_01.egpack,game_t00723,オールストン准将,「他艦に残存する燃料を集約し、\w先月１５日、\wブルーオーシャン作戦における集結予定地であるハワイ方面へと送り出した」,,上个月,
kanji_place_or_region,惑星,2,行星,沿用已有,yes,行星,3239,090_UAF_DAY99_01.egpack,game_t03238,ダリル,「いいか――！　たとえこの惑星が滅んでも、\w海兵隊は不滅である！　海兵第３１８戦術機隊――出撃！」,,行星,
kanji_place_or_region,目的地,2,目的地,沿用已有,yes,目的地,7,010_UAFプロローグ.egpack,game_t00006,オペレーター,「もっとも確実なのは、\w船団が目的地に到着するその時――地球時間において約６０年後になります」,,目的地,
kanji_place_or_region,英国,2,英国,沿用已有,yes,英国,983,040_UAF_DAY94_01.egpack,game_t00982,リリア,「私も元は大西洋よ。任官してからずっとポーツマスだったから。あ、\w英国の方のね」,,英国,
kanji_place_or_region,要領,2,要领,沿用已有,yes,要领,1598,050_UAF_DAY95_01.egpack,game_t01597,ダリル,「後はその繰り返しでハワイ方面への捜索範囲を伸ばしていくって寸法さ。登山や極地踏破と同じ要領だね」,,要领,
kanji_place_or_region,豪州,2,澳洲,沿用已有,yes,澳洲,1226,040_UAF_DAY94_01.egpack,game_t01225,メルヴィナ,「ま、\w豪州の方がよっぽど露骨だったかもしれないけどさ」,,澳洲,
kanji_place_or_region,集結予定地,2,预定集结地点,沿用已有,yes,预定集结地点,724,030_UAF_DAY93_01.egpack,game_t00723,オールストン准将,「他艦に残存する燃料を集約し、\w先月１５日、\wブルーオーシャン作戦における集結予定地であるハワイ方面へと送り出した」,,预定集结地点,
katakana_callsign_or_unit,ナイヴス３カタパルト,2,黑刃3弹射器,沿用已有,yes,黑刃3弹射器,3647,090_UAF_DAY99_03.egpack,game_t03646,ＪＦＫオペレーター２,「――ナイヴス３カタパルト接続完了」,,黑刃3弹射器,
katakana_callsign_or_unit,バスター２,2,破坏者2,沿用已有,yes,破坏者2,3385,090_UAF_DAY99_02.egpack,game_t03384,バスター１,「バスター２！　バスター２――ッ！　\n…\w…\w畜生――ッ！」,,破坏者2,
katakana_foreign_word,ァァ,2,啊啊,沿用已有,yes,啊啊,3047,090_UAF_DAY99_01.egpack,game_t03046,ダリル,「クソ豚ども――全滅したんじゃなかったのかァァッッ――！」,,啊啊,
katakana_foreign_word,エリア,2,区域,沿用已有,yes,区域,562,030_UAF_DAY93_01.egpack,game_t00561,,…\w…\w医療エリアなんて滅多に来ないからな。どっちだったか…\w…\w？,,区域,
katakana_foreign_word,オリジナルハイヴ,2,原始HIVE,沿用已有,yes,原始HIVE,2324,060_UAF_DAY96_01.egpack,game_t02323,メルヴィナ,「すごかったねー。衛星画像で見てただけだけどさ、\wオリジナルハイヴもキレイさっぱり！」,,原始HIVE,
katakana_foreign_word,カメラ,2,摄像机,沿用已有,yes,摄像机,56,020_UAF_DAY91_01.egpack,game_t00055,,帰投後にマークした座標と光学カメラの記録をつき合わせ、\w延々と海岸線情報を打ち込んでいく――,,摄像机,
katakana_foreign_word,キング,2,国王号,沿用已有,yes,国王号,725,030_UAF_DAY93_01.egpack,game_t00724,オールストン准将,「以後、\w未だキングからの連絡は無い」,,国王号,
katakana_foreign_word,ケーブル,2,电缆,沿用已有,yes,电缆,387,020_UAF_DAY91_01.egpack,game_t00386,,えーと…\w…\w予備接続用のケーブルはここで…\w…\w,,电缆,
katakana_foreign_word,コスト,2,成本,沿用已有,yes,成本,1806,050_UAF_DAY95_01.egpack,game_t01805,,万が一の可能性なんて代物と、\w掛けているコストとリスクが見合わないことぐらい、\w分からない奴じゃないはずだ。,,成本,
katakana_foreign_word,コントロール,2,管制,沿用已有,yes,管制,540,020_UAF_DAY91_01.egpack,game_t00539,,…\w…\wやっぱりコントロールの声を聞くとホッとする。,,管制,
katakana_foreign_word,システムチェック,2,系统检查,沿用已有,yes,系统检查,81,020_UAF_DAY91_01.egpack,game_t00080,ウィル,「スパイク打ち込み確認、\w固定完了です。アンテナ伸張、\wシステムチェック開始」,,系统检查,
katakana_foreign_word,ジェット,2,喷气,沿用已有,yes,喷气,196,020_UAF_DAY91_01.egpack,game_t00195,ダリル,「よし、\w一旦海上に出てから右旋回、\w一度フライパスして周囲を確認する。ジェット後流を当てんじゃないよ――距離１００で着地、\w主脚歩行接近」,,喷气,
katakana_foreign_word,ジェントル,2,绅士,沿用已有,yes,绅士,71,020_UAF_DAY91_01.egpack,game_t00070,ダリル,「中継機下ろせ――慎重にやんな。メルの薄い胸を撫でるようにジェントルにだ。痛くするなよ」,,绅士,
katakana_foreign_word,ジャンヌ・デュカス,2,让娜·迪卡斯,沿用已有,yes,让娜·迪卡斯,1898,050_UAF_DAY95_01.egpack,game_t01897,リリア,「フェデリカ・ベクレル少尉、\wジャンヌ・デュカス少尉――」,,让娜·迪卡斯,
katakana_foreign_word,ジョーク,2,玩笑,沿用已有,yes,玩笑,538,020_UAF_DAY91_01.egpack,game_t00537,,規則とはいえ、\wもはや定番のジョークに\nなりつつあるな。,,玩笑,
katakana_foreign_word,スパイク,2,锚钉,沿用已有,yes,锚钉,81,020_UAF_DAY91_01.egpack,game_t00080,ウィル,「スパイク打ち込み確認、\w固定完了です。アンテナ伸張、\wシステムチェック開始」,,锚钉,
katakana_foreign_word,タイプ,2,类型,沿用已有,yes,类型,1808,050_UAF_DAY95_01.egpack,game_t01807,,…\w…\wいや、\wそんな私情を優先させるタイプとも考えにくい。,,类型,
katakana_foreign_word,ダイエット,2,减肥,沿用已有,yes,减肥,1463,040_UAF_DAY94_01.egpack,game_t01462,ダリル,「…\w…\wよろしい。では解散！　ダイエットには絶好の日だよ！」,,减肥,
katakana_foreign_word,テメェ,2,你这混蛋,沿用已有,yes,你这混蛋,3359,090_UAF_DAY99_01.egpack,game_t03358,ウィル,「クソッ！　消えろテメェら――ッ！」,,你这混蛋,
katakana_foreign_word,データベース,2,数据库,沿用已有,yes,数据库,1528,040_UAF_DAY94_01.egpack,game_t01527,ウィル,「この状況じゃ本国の兵員データベースにアクセスできない、\w強化装備にその手の情報は入ってない。そして…\w…\w」,,数据库,
katakana_foreign_word,トラブル,2,麻烦,沿用已有,yes,麻烦,51,020_UAF_DAY91_01.egpack,game_t00050,,もちろん別にトラブルが欲しいってわけじゃない。,,麻烦,
katakana_foreign_word,ノー・マム,2,不，长官,沿用已有,yes,不，长官,747,030_UAF_DAY93_01.egpack,game_t00746,ウィル,「ノー・マム、\w一切ありません」,,不，长官,
katakana_foreign_word,バッテリー,2,电池,沿用已有,yes,电池,222,020_UAF_DAY91_01.egpack,game_t00221,ダリル,「強化装備のバッテリーは流石に切れてるねえ…\w…\wお嬢ちゃん、\w何日目だい？　水は？」,,电池,
katakana_foreign_word,ビーコン,2,信标,沿用已有,yes,信标,109,020_UAF_DAY91_01.egpack,game_t00108,ウィル,「こちらからのコールは受信しないようです。自動ビーコンです」,,信标,
katakana_foreign_word,ファック,2,妈的,沿用已有,yes,妈的,3460,090_UAF_DAY99_02.egpack,game_t03459,ウィル,「ナイヴス３、\w背中は任せた。俺は突撃級のケツをファックする！」,,妈的,
katakana_foreign_word,ファランクス,2,密集阵,沿用已有,yes,密集阵,3388,090_UAF_DAY99_02.egpack,game_t03387,リリア,「ですが…\w…\w！　\nファランクスでは抑えきれない数ですッ！」,,密集阵,
katakana_foreign_word,フィリピン,2,菲律宾,沿用已有,yes,菲律宾,977,040_UAF_DAY94_01.egpack,game_t00976,ウィル,「…\w…\w確か、\wリリアもフィリピンだったんだよな。俺らも結構寄港してたんだぜ？」,,菲律宾,
katakana_foreign_word,フェデリカ・ベクレル,2,费德丽卡·贝克勒尔,沿用已有,yes,费德丽卡·贝克勒尔,1898,050_UAF_DAY95_01.egpack,game_t01897,リリア,「フェデリカ・ベクレル少尉、\wジャンヌ・デュカス少尉――」,,费德丽卡·贝克勒尔,
katakana_foreign_word,ブリーフィング,2,简报,沿用已有,yes,简报,2248,060_UAF_DAY96_01.egpack,game_t02247,ウィル,「おいおい勘弁してくれよ、\wＪＦＫの現状についてブリーフィングでもして欲しいのか？」,,简报,
katakana_foreign_word,プログラム,2,程序,沿用已有,yes,程序,1280,040_UAF_DAY94_01.egpack,game_t01279,リリア,「中尉、\w念のため伺いますが、\w規定慣熟プログラムの実行による誤差修正は許可されるのでしょうか」,,程序,
katakana_foreign_word,ユニット,2,单元,沿用已有,yes,单元,3384,090_UAF_DAY99_02.egpack,game_t03383,バスター２,「跳躍ユニットが！　う、\wうわぁぁぁ――ッッ！！！」,,单元,
katakana_foreign_word,ヨコハマ,2,横滨,沿用已有,yes,横滨,1060,040_UAF_DAY94_01.egpack,game_t01059,ウィル,「ま、\wヨコハマで積んだから合成食ばっかだけどな。調理の仕方で結構食えるモンだろ？」,,横滨,
katakana_foreign_word,リスク,2,风险,沿用已有,yes,风险,1615,050_UAF_DAY95_01.egpack,game_t01614,,そうだ…\w…\w。推進剤の遠方貯蓄自体に推進剤を使わざるを得ない、\w極めてリスクの高い方式なんだ。,,风险,
katakana_foreign_word,リスト,2,名单,沿用已有,yes,名单,2045,060_UAF_DAY96_01.egpack,game_t02044,リリア,「海軍のリストに載ってなきゃ…\w…\w今頃私も名無しの死体でしょ」,,名单,
katakana_foreign_word,ロケットモーター,2,火箭发动机,沿用已有,yes,火箭发动机,1816,050_UAF_DAY95_01.egpack,game_t01815,,ロケットモーターに点火しやがった！,,火箭发动机,
katakana_foreign_word,ローゼンバーグ,2,罗森伯格,沿用已有,yes,罗森伯格,80,020_UAF_DAY91_01.egpack,game_t00079,,ローゼンバーグ中尉は延々このノリに耐えてたんだろうか…\w…\w。,,罗森伯格,
katakana_military_or_foreign,コントロール,2,管制,沿用已有,yes,管制,541,020_UAF_DAY91_01.egpack,game_t00540,ダリル,「コントロール、\w保護対象搭乗機はナイヴス２だ、\w先に着艦させる」,,管制,
katakana_military_or_foreign,ゴーファー・ステート,2,戈弗州,沿用已有,yes,戈弗州,813,030_UAF_DAY93_01.egpack,game_t00812,ダリル,「ん？　ああ、\w巡洋艦が『ゲティスバーグ』、\w輸送艦が『ゴーファー・ステート』」,,戈弗州,
katakana_military_or_foreign,ジョージ・ワシントン,2,乔治·华盛顿,沿用已有,yes,乔治·华盛顿,969,040_UAF_DAY94_01.egpack,game_t00968,ウィル,「前はジョージ・ワシントンに乗ってたんだ。ニミッツ級の戦術機母艦な」,,乔治·华盛顿,
katakana_military_or_foreign,ズムウォルト,2,朱姆沃尔特,沿用已有,yes,朱姆沃尔特,723,030_UAF_DAY93_01.egpack,game_t00722,オールストン准将,「また本国及び国連司令部との連絡回復を目的とし、\w４艦の中でも最も損害が少なく、\w最新鋭艦でもあるズムウォルト級駆逐艦 『キング』を連絡艦に任命」,,朱姆沃尔特,
katakana_military_or_foreign,フィリピン,2,菲律宾,沿用已有,yes,菲律宾,249,020_UAF_DAY91_01.egpack,game_t00248,ダリル,「そっちの第２６ってことは…\w…\wフィリピンからかい？　艦は？」,,菲律宾,
katakana_military_or_foreign,メートル,2,米,沿用已有,yes,米,3464,090_UAF_DAY99_02.egpack,game_t03463,航海長,「戦術機部隊に通達。母艦南西２０００メートル圏内への接近を禁ず。撃墜されても文句は言わせんぞ！」,,米,
katakana_military_or_foreign,モットー,2,座右铭,沿用已有,yes,座右铭,1219,040_UAF_DAY94_01.egpack,game_t01218,,いくら先陣がモットーの海兵隊とは言え、\w今時『前線中の前線』なんかに『優先的に』配属される米軍衛士がどういうものか――,,座右铭,
katakana_military_or_foreign,モード・オート・スペシャル,2,自动特殊模式,沿用已有,yes,自动特殊模式,3269,090_UAF_DAY99_01.egpack,game_t03268,ＪＦＫオペレーター１,「ＪＦＫ母艦打撃群司令部より『ゲティスバーグ』、\w『シドニー』に達する。\nモード・オート・スペシャル――繰り返す、\w\nモード・オート・スペシャル――」,,自动特殊模式,
katakana_military_or_foreign,レナード,2,伦纳德,沿用已有,yes,伦纳德,2644,060_UAF_DAY96_01.egpack,game_t02643,,戦術機小隊のレナード。,,伦纳德,
katakana_person,ダリル・マクマナス,2,达里尔·麦克马纳斯,沿用已有,yes,达里尔·麦克马纳斯,244,020_UAF_DAY91_01.egpack,game_t00243,ダリル,「同じく、\wダリル・マクマナス中尉だ。今は二人とも海軍の第３母艦付きだけどね」,,达里尔·麦克马纳斯,
katakana_ship_or_codename,ケネディ・コントロール,2,肯尼迪管制,沿用已有,yes,肯尼迪管制,534,020_UAF_DAY91_01.egpack,game_t00533,ダリル,「ナイヴス・リードよりケネディ・コントロール、\w管制空域に入った。両機着艦許可求む」,,肯尼迪管制,
latin_or_acronym,Ａ－６,2,A-6,沿用已有,yes,A-6,1295,040_UAF_DAY94_01.egpack,game_t01294,ダリル,「…\w…\wま、\wリリアがＡ－６乗りじゃなくて助かったよ」,,A-6,
latin_or_acronym,ＣＶＮ－６７,2,CVN-67,沿用已有,yes,CVN-67,531,020_UAF_DAY91_01.egpack,game_t00530,,エンタープライズ級正規戦術機母艦、\wＣＶＮ－６７\n『ジョン・Ｆ・ケネディ』、\w通称ＪＦＫ。,,CVN-67,
latin_or_acronym,ＫＩＡ,2,KIA,沿用已有,yes,KIA,3496,090_UAF_DAY99_03.egpack,game_t03495,ＪＦＫオペレーター２,「バスター７撃墜を確認。ブラウン少尉、\wオオシマ少尉をＫＩＡと認定」,,KIA,
latin_or_acronym,Ｍ－４,2,M-4,沿用已有,yes,M-4,561,030_UAF_DAY93_01.egpack,game_t00560,,セクションＭ－４、\wＭ－４…\w…\wと。,,M-4,
ruby_reading_katakana,エレメント,2,分队,沿用已有,yes,分队,,050_UAF_DAY95_01.egpack,game_t01867_ruby,,２機分隊行動:エレメント,,分队,
ruby_reading_katakana,ドッグタグ,2,身份牌,沿用已有,yes,身份牌,,050_UAF_DAY95_01.egpack,game_t01896_ruby,,識別票:ドッグタグ,,身份牌,
ruby_reading_katakana,ビッグマム,2,Big Mom,沿用已有,yes,Big Mom,,040_UAF_DAY94_01.egpack,game_t00948_ruby,,おっかさん:ビッグマム,,Big Mom,
ruby_reading_katakana,ビッグ・マム,2,Big Mom,沿用已有,yes,Big Mom,,020_UAF_DAY91_01.egpack,game_t00217_ruby,,おっかさん:ビッグ・マム,,Big Mom,
ruby_reading_katakana,ブラック・ナイヴス,2,黑刃,建议,yes,黑刃,,030_UAF_DAY93_01.egpack,game_t00738_ruby,,海兵隊第３１８戦術機隊:ブラック・ナイヴス,,黑刃,
ruby_reading_katakana,メモリアル・デイ,2,阵亡将士纪念日,沿用已有,yes,阵亡将士纪念日,,060_UAF_DAY96_01.egpack,game_t02704_ruby,,戦没将兵追悼記念日:メモリアル・デイ,,阵亡将士纪念日,
ruby_reading_katakana,リソース,2,资源,沿用已有,yes,资源,,060_UAF_DAY96_01.egpack,game_t02221_ruby,,選択肢:リソース,,资源,
ruby_term,僚機,2,僚机,沿用已有,yes,僚机,,040_UAF_DAY94_01.egpack,game_t01276_ruby,,僚機:バディ,,僚机,
ruby_term,常に忠誠,2,永远忠诚,沿用已有,yes,永远忠诚,,070_UAF_DAY97_01.egpack,game_t02793_ruby,,常に忠誠:センパー・ファイ,,永远忠诚,
ruby_term,常に忠誠を,2,永远忠诚,沿用已有,yes,永远忠诚,,050_UAF_DAY95_01.egpack,game_t01693_ruby,,常に忠誠を:センパー・ファイ,,永远忠诚,
ruby_term,戦没将兵追悼記念日,2,阵亡将士纪念日,沿用已有,yes,阵亡将士纪念日,,060_UAF_DAY96_01.egpack,game_t02704_ruby,,戦没将兵追悼記念日:メモリアル・デイ,,阵亡将士纪念日,
kanji_place_or_military_org,中隊,1,中队,沿用已有,yes,中队,3429,090_UAF_DAY99_02.egpack,game_t03428,,中隊でも支えきれないのに３機で何とかしろって言うのかよ…\w…\w。,,中队,
kanji_place_or_military_org,元々分遣隊,1,原本是分遣队,沿用已有,yes,原本是分遣队,1491,040_UAF_DAY94_01.egpack,game_t01490,リリア,「ダリル隊長が言ってたわよね、\wこの艦の海兵隊は元々分遣隊で、\w別任務についてたって」,,原本是分遣队,
kanji_place_or_military_org,入隊,1,入队,沿用已有,yes,入队,1220,040_UAF_DAY94_01.egpack,game_t01219,,この現実…\w…\w入隊するまで知りもしなかった自分が情けなく思えたもんだ。,,入队,
kanji_place_or_military_org,全部隊,1,全部队,沿用已有,yes,全部队,3130,090_UAF_DAY99_01.egpack,game_t03129,ダリル,「この状況に際し、\wＪＦＫ母艦打撃群司令部は、\w指揮下にある全部隊に交戦準備を命令。沖合いの『ゲティスバーグ』、\w『シドニー』に各艦の乗組員が急行している」,,全部队,
kanji_place_or_military_org,合衆国海兵隊,1,合众国海军陆战队,沿用已有,yes,合众国海军陆战队,3708,100_UAF_DAY100_01.egpack,game_t03707,リリア,「合衆国海兵隊と…\w…\w戦友の、\w名に懸けて――！」,,合众国海军陆战队,
kanji_place_or_military_org,地上基地,1,地面基地,沿用已有,yes,地面基地,592,030_UAF_DAY93_01.egpack,game_t00591,リリア,「そうね、\wずっと地上基地と揚陸艦ばかりだったから」,,地面基地,
kanji_place_or_military_org,大体作戦,1,大体作战,沿用已有,yes,大体作战,73,020_UAF_DAY91_01.egpack,game_t00072,ウィル,「――手元狂わす気満々じゃないですか！　\n大体作戦中ですよ中尉、\w\nレコーダー回ってるんですから…\w…\w！」,,大体作战,
kanji_place_or_military_org,大規模作戦,1,大规模作战,沿用已有,yes,大规模作战,3321,090_UAF_DAY99_01.egpack,game_t03320,,この数…\w…\w俺たちが大規模作戦を組むときの敵と変わらないじゃないか…\w…\w！,,大规模作战,
kanji_place_or_military_org,小隊,1,小队,沿用已有,yes,小队,3421,090_UAF_DAY99_02.egpack,game_t03420,バスター１,「Ｂ小隊から撤収だ！　続いてＣ小隊、\wＡ小隊！」,,小队,
kanji_place_or_military_org,弔銃隊,1,鸣枪队,沿用已有,yes,鸣枪队,2893,080_UAF_DAY98_01.egpack,game_t02892,,リリアたちの弔銃隊だ…\w…\w。,,鸣枪队,
kanji_place_or_military_org,我々海兵戦術機隊,1,我方海军陆战队战术机队,沿用已有,yes,我方海军陆战队战术机队,3146,090_UAF_DAY99_01.egpack,game_t03145,ダリル,「我々海兵戦術機隊は海軍の母艦戦術機隊と合流、\w母艦周辺に展開して防衛線を構築しＢＥＴＡの迎撃にあたる」,,我方海军陆战队战术机队,
kanji_place_or_military_org,我々海兵隊,1,我方海军陆战队,沿用已有,yes,我方海军陆战队,3191,090_UAF_DAY99_01.egpack,game_t03190,リリア,「は――。目視誘導は我々海兵隊が受けるべき任務ではないでしょうか？」,,我方海军陆战队,
kanji_place_or_military_org,戦術機分隊,1,战术机分队,沿用已有,yes,战术机分队,1366,040_UAF_DAY94_01.egpack,game_t01365,ダリル,「これからは２機ずつの戦術機分隊を３人で回していくことになる」,,战术机分队,
kanji_place_or_military_org,戦術機小隊,1,战术机小队,沿用已有,yes,战术机小队,2644,060_UAF_DAY96_01.egpack,game_t02643,,戦術機小隊のレナード。,,战术机小队,
